YearsExperience,Salary
3.745401188473625,39597.476624749834
9.50714306409916,64545.64181583712
7.319939418114051,57517.30485592528
5.986584841970366,30057.2350638429
1.5601864044243652,25604.213143746707
1.5599452033620265,31370.851731927596
0.5808361216819946,37683.12105582513
8.661761457749352,58126.10510601028
6.011150117432088,41970.81455822856
7.080725777960454,50386.05845395691
0.20584494295802447,30183.24589181086
9.699098521619943,71783.00370469656
8.324426408004218,56324.5300023507
2.1233911067827616,35749.62986504737
1.8182496720710062,30062.023853835435
1.8340450985343382,38856.67539800059
3.0424224295953772,28191.58120920336
5.247564316322379,42961.20011563421
4.319450186421157,37676.16940078421
2.9122914019804194,19926.307528580906
6.118528947223795,53553.84750676474
1.3949386065204183,29585.245754400985
2.9214464853521815,34658.36699318552
3.663618432936917,35972.22083093311
4.56069984217036,28649.791790347655
7.851759613930136,55052.344841997096
1.9967378215835974,26556.543942650293
5.142344384136116,37688.94922846439
5.924145688620425,48007.87132644204
0.46450412719997725,26363.02920414527
6.075448519014383,69239.10160717722
1.7052412368729153,30271.98431268297
0.6505159298527952,25828.08355649162
9.488855372533333,66699.817705005
9.656320330745594,49093.889500737554
8.08397348116461,60154.728651330886
3.0461376917337066,35832.990558078796
0.9767211400638387,49516.026825172055
6.842330265121569,52288.041677796624
4.4015249373960135,45023.09811031619
1.2203823484477883,25754.794045186507
4.951769101112702,33072.065129368195
0.34388521115218396,33147.65420091113
9.093204020787821,72985.35043080684
2.587799816000169,40849.318550431315
6.62522284353982,44032.23966975171
3.1171107608941098,49613.496913831535
5.200680211778108,31984.890430967727
5.4671027934327965,53204.08490516668
1.8485445552552704,51147.27903437614
9.695846277645586,58573.86813692104
7.7513282336111455,53093.66387202801
9.394989415641891,67971.46072908587
8.948273504276488,59706.610980220445
5.978999788110851,34388.36462989293
9.218742350231167,66779.34149921611
0.884925020519195,13801.587965334928
1.959828624191452,34535.06742730908
0.45227288910538066,13067.12210318887
3.2533033076326436,51765.86058833861
3.8867728968948203,31601.331561111736
2.713490317738959,30346.836426638038
8.287375091519294,69572.04763129317
3.567533266935893,25529.023170339915
2.8093450968738076,36321.32483041033
5.426960831582485,60206.23170073671
1.4092422497476265,10971.378903125855
8.021969807540398,61956.18762302503
0.7455064367977082,26326.360126472777
9.868869366005173,77162.57554779897
7.722447692966574,46242.73135605205
1.987156815341724,16731.217945865857
0.05522117123602399,25495.521512349093
8.154614284548341,63742.91815507357
7.068573438476172,57847.795695839624
7.2900716804098735,59914.84049701912
7.712703466859457,51763.27011851237
0.7404465173409036,26024.769558314554
3.5846572854427263,40854.01116020045
1.1586905952512971,18649.938795992806
8.631034258755935,81812.91640522724
6.232981268275579,55903.23555049577
3.308980248526492,24631.866270605977
0.6355835028602363,29743.453600639477
3.109823217156622,25802.299383509897
3.2518332202674705,44130.01213876187
7.29606178338064,68066.26470697724
6.3755747135521315,43671.05038424356
8.872127425763265,73994.39842125954
4.722149251619493,47738.55552746245
1.195942459383017,34200.31389685998
7.13244787222995,74630.16918768921
7.607850486168974,55585.37127081616
5.612771975694963,40526.49823489992
7.70967179954561,49653.21470147282
4.937955963643907,36531.67696856516
5.227328293819941,45365.624374958665
4.275410183585496,44788.57066609392
0.2541912674409519,24037.864330504948
1.0789142699330445,33666.403840025465
